seq_len,kernel_ms,kernel_tok_s,kernel_vram_gb,kernel_oom,ref_ms,ref_tok_s,ref_vram_gb,ref_oom
512,5.369851365685463,95347.14559732382,0.027394048,0,0.7208017632365227,710320.1269944635,0.11915264,0
1024,11.953821871429682,85662.97967409223,0.037486592,0,2.147669903934002,476795.80466452707,0.397164544,0
2048,28.508301824331284,71838.72307160968,0.05767168,0,7.786642760038376,263014.5061374187,1.481670656,0
4096,61.33938580751419,66776.01912828792,0.098041856,0,31.02984232828021,132001.95981231128,5.764612096,0
8192,127.43093306198716,64285.804107038166,0.178782208,0,nan,nan,nan,1
16384,260.76592737808824,62830.29445117884,0.340262912,0,nan,nan,nan,1
32768,525.9719006717205,62299.90605610656,0.66322432,0,nan,nan,nan,1
