seq_len,kernel_ms,kernel_tok_s,kernel_vram_gb,kernel_oom,ref_ms,ref_tok_s,ref_vram_gb,ref_oom
512,1.7504431307315826,292497.3631025728,0.002752512,0,0.773722305893898,661736.1243172063,0.071888896,0
1024,3.378123976290226,303126.82636489026,0.014024704,0,1.6231248155236244,630881.8583798528,0.24539136,0
2048,6.217421963810921,329396.97706228937,0.019529728,0,5.607421975582838,365230.2268168662,0.922796032,0
4096,13.569268863648176,301858.5629895734,0.030539776,0,24.156764149665833,169559.13360840845,3.599204352,0
8192,26.140566915273666,313382.64493466273,0.052559872,0,99.42463412880898,82394.06734337995,14.238416896,0
16384,52.09295405074954,314514.70354394807,0.096600064,0,nan,nan,nan,1
32768,109.07231085002422,300424.5508748449,0.184680448,0,nan,nan,nan,1
