seq_len,kernel_ms,kernel_tok_s,kernel_vram_gb,kernel_oom,ref_ms,ref_tok_s,ref_vram_gb,ref_oom
512,1.8513728864490986,276551.52765146474,0.009150464,0,1.5207286924123764,336680.6995584462,0.074043392,0
1024,3.3989553339779377,301269.03691952035,0.026820608,0,3.342880867421627,306322.6123250434,0.249700352,0
2048,6.72178203240037,304681.10839182517,0.045121536,0,11.176560074090958,183240.63812331573,0.931414016,0
4096,13.204515911638737,310196.9074375305,0.081723392,0,42.15883603319526,97156.38251432912,3.61644032,0
8192,26.423045899719,310032.3872989646,0.154927104,0,167.41260327398777,48932.994528452306,14.272888832,0
16384,54.00272971019149,303392.0708809648,0.302252032,0,nan,nan,nan,1
32768,109.83994510024786,298324.98523277265,0.594149376,0,nan,nan,nan,1
